Input	Output
3219  1.86692759295499      0.06410256410256533	3220  1.86692759295499     0.048231511254018956
3220  1.86692759295499     0.048231511254018956	3221  1.86692759295499      0.04487179487179387
3221  1.86692759295499      0.04487179487179387	3222  1.86692759295499     0.041533546325876934
3222  1.86692759295499     0.041533546325876934	3223  1.86692759295499      0.03514376996805146
3223  1.86692759295499      0.03514376996805146	3224  1.86692759295499      0.03225806451612714
3224  1.86692759295499      0.03225806451612714	3225  1.86692759295499     0.028938906752410683
3225  1.86692759295499     0.028938906752410683	3226  1.86692759295499      0.01935483870967627
3226  1.86692759295499      0.01935483870967627	3227  1.86692759295499      0.01935483870967627
3227  1.86692759295499      0.01935483870967627	3228  1.86692759295499     0.012820512820513707
3228  1.86692759295499     0.012820512820513707	3229  1.86692759295499      0.00964630225080411
3229  1.86692759295499      0.00964630225080411	3230  1.86692759295499     0.006410256410256017
3230  1.86692759295499     0.006410256410256017	3231  1.86692759295499    0.0032154340836018517
3231  1.86692759295499    0.0032154340836018517	3232  1.99021526418787    -0.038709677419354216
3232  1.99021526418787    -0.038709677419354216	3233  1.99021526418787     -0.03536977491961453
3233  1.99021526418787     -0.03536977491961453	3234  1.99021526418787    -0.032258064516128795
3234  1.99021526418787    -0.032258064516128795	3235  1.99021526418787    -0.028938906752410686
3235  1.99021526418787    -0.028938906752410686	3236  1.99021526418787    -0.032258064516128795
3236  1.99021526418787    -0.032258064516128795	3237  1.95499021526419    -0.028938906752410686
3237  1.95499021526419    -0.028938906752410686	3238  1.88454011741683      0.00323624595469313
3238  1.88454011741683      0.00323624595469313	3239  1.86692759295499   -7.320309233334909e-17
3239  1.86692759295499   -7.320309233334909e-17	3240  1.86692759295499   -7.320309233334909e-17
3240  1.86692759295499   -7.320309233334909e-17	3241  1.86692759295499    -0.009646302250805702
3241  1.86692759295499    -0.009646302250805702	3242  1.86692759295499    -0.009646302250804081
3242  1.86692759295499    -0.009646302250804081	3243  1.86692759295499    -0.009708737864077905
3243  1.86692759295499    -0.009708737864077905	3244  1.86692759295499    -0.012903225806452404
3244  1.86692759295499    -0.012903225806452404	3245  1.86692759295499    -0.012903225806452404
3245  1.86692759295499    -0.012903225806452404	3246  1.86692759295499    -0.016077170418006267
3246  1.86692759295499    -0.016077170418006267	3247  1.86692759295499    -0.016077170418006267
3247  1.86692759295499    -0.016077170418006267	3248  1.86692759295499    -0.019354838709677913
3248  1.86692759295499    -0.019354838709677913	3249  1.88454011741683    -0.019354838709677913
3249  1.88454011741683    -0.019354838709677913	3250  1.88454011741683    -0.019354838709677913
3250  1.88454011741683    -0.019354838709677913	3251  1.88454011741683    -0.019354838709677913
3251  1.88454011741683    -0.019354838709677913	3252  1.88454011741683     -0.02580645161290335
3252  1.88454011741683     -0.02580645161290335	3253  1.88454011741683     -0.02580645161290335
3253  1.88454011741683     -0.02580645161290335	3254  1.88454011741683     -0.02580645161290335
3254  1.88454011741683     -0.02580645161290335	3255  1.88454011741683    -0.029126213592232133
3255  1.88454011741683    -0.029126213592232133	3256  1.88454011741683    -0.035369774919611255
3256  1.88454011741683    -0.035369774919611255	3257  1.88454011741683    -0.029126213592232133
3257  1.88454011741683    -0.029126213592232133	3258  1.88454011741683    -0.035369774919611255
3258  1.88454011741683    -0.035369774919611255	3259  1.88454011741683    -0.035369774919611255
3259  1.88454011741683    -0.035369774919611255	3260  1.88454011741683    -0.035369774919611255
3260  1.88454011741683    -0.035369774919611255	3261  1.88454011741683    -0.035369774919611255
3261  1.88454011741683    -0.035369774919611255	3262  1.95499021526419      -0.0256410256410241
3262  1.95499021526419      -0.0256410256410241	3263  1.95499021526419    -0.022508038585208476
3263  1.95499021526419    -0.022508038585208476	3264  1.95499021526419    -0.022508038585208476
3264  1.95499021526419    -0.022508038585208476	3265  1.95499021526419    -0.022508038585208476
3265  1.95499021526419    -0.022508038585208476	3266  1.95499021526419    -0.012903225806450817
3266  1.95499021526419    -0.012903225806450817	3267  1.95499021526419    -0.012903225806450817
3267  1.95499021526419    -0.012903225806450817	3268  1.95499021526419    -0.009646302250804113
3268  1.95499021526419    -0.009646302250804113	3269  1.95499021526419    -0.003215434083601925
3269  1.95499021526419    -0.003215434083601925	3270  1.95499021526419   -1.683671123667026e-15
3270  1.95499021526419   -1.683671123667026e-15	3271  1.95499021526419    0.0032362459546915086
3271  1.95499021526419    0.0032362459546915086	3272  1.95499021526419    0.0032362459546915086
3272  1.95499021526419    0.0032362459546915086	3273  1.91976516634051     0.006451612903225398
3273  1.91976516634051     0.006451612903225398	3274  1.91976516634051     0.006451612903225398
3274  1.91976516634051     0.006451612903225398	3275  1.91976516634051     0.009646302250804008
3275  1.91976516634051     0.009646302250804008	3276  1.91976516634051     0.009646302250804008
3276  1.91976516634051     0.009646302250804008	3277  1.91976516634051     0.016077170418006267
3277  1.91976516634051     0.016077170418006267	3278  1.91976516634051     0.016077170418006267
3278  1.91976516634051     0.016077170418006267	3279  1.91976516634051     0.016077170418006267
3279  1.91976516634051     0.016077170418006267	3280  1.91976516634051      0.01935483870967791
3280  1.91976516634051      0.01935483870967791	3281  1.91976516634051     0.028938906752410686
3281  1.91976516634051     0.028938906752410686	3282  1.91976516634051     0.025806451612903347
3282  1.91976516634051     0.025806451612903347	3283  1.91976516634051     0.028938906752410686
3283  1.91976516634051     0.028938906752410686	3284  1.91976516634051      0.03205128205128016
3284  1.91976516634051      0.03205128205128016	3285  1.86692759295499      0.03205128205128016
3285  1.86692759295499      0.03205128205128016	3286  1.86692759295499      0.03514376996804985
3286  1.86692759295499      0.03514376996804985	3287  1.86692759295499      0.03536977491961291
3287  1.86692759295499      0.03536977491961291	3288  1.86692759295499      0.03536977491961291
3288  1.86692759295499      0.03536977491961291	3289  1.86692759295499       0.0415335463258786
3289  1.86692759295499       0.0415335463258786	3290  1.86692759295499      0.04207119741100167
3290  1.86692759295499      0.04207119741100167	3291  1.86692759295499     0.048231511254018956
3291  1.86692759295499     0.048231511254018956	3292  1.86692759295499     0.048231511254018956
3292  1.86692759295499     0.048231511254018956	3293  1.86692759295499     0.054662379421222804
3293  1.86692759295499     0.054662379421222804	3294  1.86692759295499     0.054662379421222804
3294  1.86692759295499     0.054662379421222804	3295  1.86692759295499     0.054662379421222804
3295  1.86692759295499     0.054662379421222804	3296  1.86692759295499      0.05769230769230923
3296  1.86692759295499      0.05769230769230923	3297  1.86692759295499      0.06752411575562714
3297  1.86692759295499      0.06752411575562714	3298  1.86692759295499      0.06752411575562714
3298  1.86692759295499      0.06752411575562714	3299  1.86692759295499      0.06752411575562714
3299  1.86692759295499      0.06752411575562714	3300  1.86692759295499      0.07395498392282927
3300  1.86692759295499      0.07395498392282927	3301  1.86692759295499      0.07692307692307572
3301  1.86692759295499      0.07692307692307572	3302  1.86692759295499      0.07692307692307572
3302  1.86692759295499      0.07692307692307572	3303  1.86692759295499      0.08333333333333331
3303  1.86692759295499      0.08333333333333331	3304  1.86692759295499      0.08333333333333331
3304  1.86692759295499      0.08333333333333331	3305  1.86692759295499       0.0868167202572354
3305  1.86692759295499       0.0868167202572354	3306  1.86692759295499       0.0868167202572354
3306  1.86692759295499       0.0868167202572354	3307  1.86692759295499      0.09032258064516267
3307  1.86692759295499      0.09032258064516267	3308  1.86692759295499      0.09324758842443925
3308  1.86692759295499      0.09324758842443925	3309  1.86692759295499      0.09324758842443925
3309  1.86692759295499      0.09324758842443925	3310  1.88454011741683    -0.035369774919611255
3310  1.88454011741683    -0.035369774919611255	3311  1.88454011741683    -0.035369774919611255
3311  1.88454011741683    -0.035369774919611255	3312  1.88454011741683    -0.035369774919611255
3312  1.88454011741683    -0.035369774919611255	3313  1.88454011741683     -0.03846153846153619
3313  1.88454011741683     -0.03846153846153619	3314  1.88454011741683     -0.03846153846153619
3314  1.88454011741683     -0.03846153846153619	3315  1.88454011741683    -0.035369774919611255
3315  1.88454011741683    -0.035369774919611255	3316  1.86692759295499      0.10610932475884369
3316  1.86692759295499      0.10610932475884369	3317  1.86692759295499       0.1096774193548388
3317  1.86692759295499       0.1096774193548388	3318  1.86692759295499       0.1096774193548388
3318  1.86692759295499       0.1096774193548388	3319  1.86692759295499       0.1132686084142384
3319  1.86692759295499       0.1132686084142384	3320  1.86692759295499       0.1132686084142384
3320  1.86692759295499       0.1132686084142384	3321  1.86692759295499       0.1132686084142384
3321  1.86692759295499       0.1132686084142384	3322  1.86692759295499       0.1132686084142384
3322  1.86692759295499       0.1132686084142384	3323  1.86692759295499       0.1132686084142384
3323  1.86692759295499       0.1132686084142384	3324  1.86692759295499      0.11612903225806402
3324  1.86692759295499      0.11612903225806402	3325  1.86692759295499      0.11612903225806402
3325  1.86692759295499      0.11612903225806402	3326  1.86692759295499      0.11612903225806402
3326  1.86692759295499      0.11612903225806402	3327  1.86692759295499       0.1197411003236248
3327  1.86692759295499       0.1197411003236248	3328  1.86692759295499      0.11897106109324623
3328  1.86692759295499      0.11897106109324623	3329  1.86692759295499      0.12258064516128966
3329  1.86692759295499      0.12258064516128966	3330  1.86692759295499      0.12258064516128966
3330  1.86692759295499      0.12258064516128966	3331  1.86692759295499      0.12258064516128966
3331  1.86692759295499      0.12258064516128966	3332  1.84931506849315      0.12258064516128966
3332  1.84931506849315      0.12258064516128966	3333  1.84931506849315      0.12258064516128966
3333  1.84931506849315      0.12258064516128966	3334  1.84931506849315      0.12258064516128966
3334  1.84931506849315      0.12258064516128966	3335  1.84931506849315      0.12258064516128966
3335  1.84931506849315      0.12258064516128966	3336  1.84931506849315      0.12258064516128966
3336  1.84931506849315      0.12258064516128966	3337  1.84931506849315      0.12258064516128966
3337  1.84931506849315      0.12258064516128966	3338  1.84931506849315      0.12258064516128966
3338  1.84931506849315      0.12258064516128966	3339  1.84931506849315      0.12258064516128966
3339  1.84931506849315      0.12258064516128966	3340  1.84931506849315      0.12258064516128966
3340  1.84931506849315      0.12258064516128966	3341  1.84931506849315      0.11897106109324801
3341  1.84931506849315      0.11897106109324801	3342  1.84931506849315      0.12258064516128966
3342  1.84931506849315      0.12258064516128966	3343  1.84931506849315      0.12258064516128966
3343  1.84931506849315      0.12258064516128966	3344  1.84931506849315      0.12258064516128966
3344  1.84931506849315      0.12258064516128966	3345  1.84931506849315      0.11538461538461511
